French,Spanish,English,FrCommon
adresser,dirigir,"to address, direct towards",Very Common
s'addresser,dirigirse,"to speak to, to be aimed at",Very Common
aduler,adular,"to adulate, flatter",Less Common
advenir,ocurrir,to happen,Less Common
affaiblir,debilitar,to weaken,Less Common
affaisser,hundir,to sink,Rare
affamer,hambriento,to starve,Less Common
affermir,consolidar,to strengthen,Rare
afficher,mostrar,to display,Common
affiler,afilar,to sharpen,Rare
affirmer,afirmar,to affirm,Very Common
affliger,afligir,to afflict,Less Common
affluer,afluir,to flow,Less Common
affoler,asustar,to panic,Less Common
affranchir,franquear,to enfranchise,Less Common
affréter,fletar,to charter,Rare
affronter,enfrentar,to face,Common
affubler,disfrazar,to dress ridiculously,Less Common
affûter,afilar,"to sharpen, hone",Common
agacer,molestar,to annoy,Common
agencer,organizar,to arrange,Rare
agenouiller,arrodillar,to kneel,Common
aggraver,agravar,to worsen,Less Common
agir,actuar,to act,Very Common
agiter,agitar,to agitate,Common
agoniser,agonizar,to agonize,Rare
agrandir,agrandar,to enlarge,Common
agréer,aceptar,to accept,Less Common
agréger,agregar,"to aggregate, combine",Common
agrémenter,adornar,"to embellish, garnish",Common
agresser,agredir,to attack,Common
aguerrir,endurecer,"to harden, toughen",Less Common
aider,ayudar,to help,Very Common
aigrir,amargar,"to embitter, sour",Less Common
aimer,amar,to love,Very Common
ajourner,aplazar,to adjourn,Rare
ajouter,añadir,to add,Very Common
ajuster,ajustar,to adjust,Common
alarmer,alarmar,to alarm,Less Common
alerter,alertar,to alert,Common
alimenter,alimentar,to feed,Common
aliener,alienar,"to give up, alienate",Less Common
aligner,alinear,to align,Very Common
alléger,aligerar,to lighten,Less Common
alléguer,alegar,to allege,Rare
aller,ir,to go,Very Common
allouer,asignar,to allocate,Less Common
allonger,alargar,to lengthen,Common
s'allonger,tombarse,to lie down,Common
allumer,encender,to light,Very Common
alourdir,cargar,to weigh down,Less Common
altérer,alterar,to alter,Less Common
alvéoler,alveolar,to alveolate,Rare
amasser,amasar/reunir,"to amass, accumulate ",Common
amarrer,amarrar,to moor,Less Common
amadouer,engatusar,to coax,Rare
aménager,acondicionar,to arrange,Common
amender,enmendar,to amend,Less Common
amener,traer,to bring,Very Common
amerrir,amerizar,to land,Rare
ameublir,ablandar,to soften,Rare
ameuter,alborotar,"to rouse, stir up",Less Common
amincir,adelgazar,to slim down,Less Common
amnistier,amnistiar,to amnesty,Rare
amocher,desfigurar,to disfigure,Rare
amonceler,amontonar,to pile up,Less Common
amorcer,cebar,to bait,Common
amortir,amortiguar,to amortize,Less Common
amouiller,empapar,to soak,Rare
amputer,amputar,to amputate,Less Common
amuser,divertir,to amuse,Very Common
s'amuser,divertirse,to have fun,Very Common
anagrammer,anagramar,to anagram,Rare
analyser,analizar,to analyze,Common
anéantir,aniquilar,to annihilate,Less Common
angliciser,anglicizar,to anglicize,Rare
animer,animar,to animate,Common
annexer,anexar,to annex,Less Common
annoncer,anunciar,to announce,Very Common
annuler,anular,to cancel,Common
anoblir,ennoblecer,to ennoble,Rare
anonymiser,anonimizar,to anonymize,Rare
apaiser,apaciguar,to appease,Less Common
apercevoir,percibir,to perceive,Common
apitoyer,apiadar,to pity,Rare
aplanir,allanar,to level,Rare
applaudir,aplaudir,to applaud,Common
appliquer,aplicar,to apply,Very Common
apposer,poner,to append,Less Common
appréhender,aprehender,to apprehend,Less Common
apprendre,aprender,to learn,Very Common
approcher,acercar,to approach,Very Common
approuver,aprobar,to approve,Common
appuyer,apoyar,to support,Very Common
arabiser,arabizar,to arabize,Rare
arbitrer,arbitrar,to arbitrate,Less Common
arborer,exhibir,to display,Less Common
arcbouter,contrafuerte,to buttress,Rare
armer,armar,to arm,Common
arranger,arreglar,to arrange,Common
arrêter,parar,to stop,Very Common
s'arrêter,detenerse,to stop oneself,Very Common
arriver,llegar,to arrive,Very Common
arroger,arrogar,to arrogate,Rare
articuler,articular,to articulate,Less Common
asperger,asperjar,to asperse,Less Common
assaillir,asaltar,to assault,Less Common
assainir,sanear,to sanitize,Less Common
assassiner,asesinar,to assassinate,Less Common
assembler,ensamblar,to assemble,Common
asseoir,sentar,to sit,Very Common
s'asseoir,sentarse,to sit down,Very Common
asservir,subyugar,to subjugate,Rare
assiéger,asediar,to besiege,Less Common
associer,asociar,to associate,Common
assommer,aturdir,to stun,Less Common
assortir,combinar,to match,Common
assouplir,flexibilizar,to soften,Less Common
assumer,asumir,"to assume, take on",Common
assurer,asegurar,to assure,Very Common
s'assurer,asegurarse,to make sure,Common
asticoter,fastidiar,to annoy,Rare
astreindre,constreñir,to constrain,Less Common
attabler,sentarse,to sit at table,Rare
attacher,atar,to attach,Common
attaquer,atacar,to attack,Very Common
atteindre,alcanzar,to reach,Very Common
atteler,enganchar,to harness,Less Common
attendrir,enternecer,to soften,Less Common
attendre,esperar,to wait,Very Common
s'attendre,esperar,to expect,Common
atténuer,atenuar,to attenuate,Less Common
atterrer,aterrar,to terrify,Less Common
atterrir,aterrizar,to land,Common
attirer,atraer,to attract,Very Common
attraper,atrapar,to catch,Very Common
attester,atestiguar,to attest,Common
attribuer,atribuir,to attribute,Common
augmenter,aumentar,to increase,Very Common
augurer,augurar,to augur,Less Common
auto-coller,autopegar,to self-stick,Rare
autopsier,autopsiar,to autopsy,Rare
autoriser,autorizar,to authorize,Common
avaler,tragar,to swallow,Common
avancer,avanzar,to advance,Very Common
avantager,aventajar,to favor,Less Common
aventurer,aventurar,to venture,Less Common
s’aventurer,arriesgarse,to risk oneself,Less Common 
avérer,resultar ser,to prove to be,Less Common 
aveugler,cegar,to blind,Less Common
aviser,avisar,to notify,Less Common
aviver,avivar,"to intensify, brighten, heighten",Less Common
avouer,confesar,to confess,Very Common
axer,centrar,to focus,Less Common
azoter,azotar,to lash,Rare
babiller,parlotear,to babble,Rare
bâcler,chapucear,to botch,Common
badiner,bromear,to joke,Rare
bagarrer,pelear,to fight,Less Common
baigner,bañar,to bathe,Common
bâiller,bostezar,to yawn,Common
baiser,besar,to kiss / to fuck,Common
baisser,bajar,to lower,Very Common
balader,pasear,to stroll,Common
balafrer,cicatrizar con una herida,to slash/scar,Rare
balancer,balancear,to balance,Very Common
balayer,barrer,to sweep,Common
balbutier,balbucear,to stammer,Less Common
bander,vendar,to bandage,Common
baliser,señalizar,"to mark, signpost",Common
balloter,zerandear,to toss about,Less Common 
banaliser,banalizar,to trivialize,Less Common
baptiser,bautizar,to baptize,Common
baragouiner,chappurear,to babble/mumble,Less Common
barguigner,dudar,to hesitate,Rare
baratiner,embaucar,to sweet-talk,Less Common
barboter,chapotear,to splash/fumble around,Less Common
barbouiller,embadurnar,to smear/smudge,Less Common
barrer,bloquear,to block,Less Common
baser,basar,to base,Common
bâtir,construir,to build,Common
bâtonner,apalear,"to beat with a stick, cudgel",Rare
battre,golpear,to beat,Very Common
se battre,pelearse,to fight,Very Common
bavarder,charlar,to chat,Common
baver,babear,to drool,Less Common
bêcher,cavar,"to dig, to be stuck-up",Less Common
becqueter,picotear,"to peck, nibble at",Less Common 
bedonner,engordar,to get fatter,Rare
béer,boquear,to gape,Rare
bégayer,tartamudear,to stutter,Common
bêler,balar,to bleat,Less Common
bénéficier,beneficiarse,to benefit,Common
bénir,bendecir,to bless,Common
béquiller,usar muletas,to walk using crutches,Rare
bercer,mecer,to rock,Common
berner,engañar,"to fool, hoax, deceive",Less Common
besogner,trabajar,to toil,Rare
bétonner,cementar,"to cement, cover in concrete",Less Common
beugler,bramar,"to bellow, to blare",Less Common
beurrer,untar (con mantequilla),"to butter, bribe",Common
biaiser,sesgar,to skew,Less Common
bichonner,"mimar, acicalar","to pamper, to fuss over",Common
bidouiller,"trastear, manipulat","to tinker, to fiddle with",Common
biffer,tachar,to cross out,Rare
bifurquer,bifurcar,to bifurcate,Less Common
bigarrer,manchar,to streak,Rare
biner,escardar,to hoe,Rare
bivouaquer,acampar,to bivouac,Rare
blaguer,bromear,to joke,Common
blanchir,blanquear,to whiten,Common
blâmer,culpar,to blame,Common
blaser,cansar,to bore,Rare
blêmir,palidecer,to turn pale,Less Common
blesser,herir,to hurt,Very Common
blinder,blindar,to armor,Rare
bloquer,bloquear,to block,Common
se bloquer,atascarse / travarse,"to get stuck, to freeze, to lock up",Common
blottir,acurrucar,"to huddle, curl up, snuggle",Less Common
bluffer,fanfarronear / farolear,to bluff,Common
bobiner,bobinar,to spool,Rare
boiter,cojear,to limp,Less Common
boire,beber,to drink,Very Common
bombarder,bombardear,to bomb,Common
bomber,archear / hinchear,"to bulge, puff out one's chest",Common
bondir,saltar,to leap,Common
border,bordear,"to tuck in, to hem",Common
borner,limitar,to limit,Less Common
bosser,"travajar, currar","to work very hard, to slave away",Common
botter,dar una patada,to kick,Common
boucher,tapar / obstruir,to block,Common
boucler,abrochar,to buckle,Common
bouder,enfurruñarse,to sulk,Common
bouffer,zampar / tragar,to gobble up,Common
bouger,mover,to move,Very Common
bougonner,refunfuñar,to grumble / to mutter,Less Common
bouillir,hervir,to boil,Less Common
bouilloner,burbujear,to bubble,Less Common
boulanger,hacer pan,to bake bread,Less Common
bouleverser,trastornar,"to shatter, to upset, to deeply move",Common
bourdonner,zumbar,to buzz,Less Common
bourlinguer,vagabundear,"to roam, to travel around a lot",Less Common
bourrer,rellenar,to stuff,Less Common
bousculer,empujar,to push,Common
bousiller,estropear,to botch,Less Common
bouturer,esquejar,to propagate,Rare
boxer,boxear,to box,Common
brader,malvender / liquidar,to sell off at a low price,Common
brailler,llorar a gritos / vocifer,to bawl / to yell,Common
braire,rebuznar,to bray,Rare
brancher,conectar,to connect,Common
branler,tambalear,to shake,Common
se branler,masturbarse,to masturbate,Common
brandir,blandir,to brandish,Common
braquer,apuntar / atracar,"to point a weapon, to rob, to mug someone ",Common
brasser,agitar / mezclar,"to stir, to mix",Common
braver,desafiar,"to brave, to defy",Less Common
bredouiller,balbucear,to stammer,Less Common
bricoler,hacer bricolaje,to do DIY,Common
brider,frenar / restringir,to restrain,Common
briguer,aspirar a,to seek a position ,Less Common
briller,brillar,to shine,Very Common
briser,romper,to break,Very Common
brocher,encuadernar / grapar,to staple / to bind,Less Common
broder,bordar,to embroider,Common
broncher,inmutarse / reaccionar,"to flinch, to react",Less Common
broyer,triturar / moler,to crush,Common
bronzer,broncear,to tan,Common
brosser,cepillar,to brush,Common
brouiller,entubiar / confundir,"to blur, to confuse",Common
brouter,pastar,to graze,Rare
bruiner,lloviznar,to drizzle,Less Common
brûler,quemar,to burn,Very Common
brumer,neblina,to mist,Rare
brusquer,brusquear,to rush,Less Common
brutaliser,brutalizar,to brutalize,Less Common
bûcher,empollar,"to cram, to study hard",Common
buter,tropezar,to stumble,Common
butiner,libar / recolectR,"to forage, to gather nectar",Less Common
butter,mantequillar,to butter,Rare
cacher,esconder,to hide,Very Common
se cacher,esconderse,to hide oneself,Common
cadrer,encuadrar,to frame,Less Common
cafarder,chismear,to gossip,Rare
cailler,cuajar,to curdle,Rare
cajoler,mimar,to cajole,Less Common
caler,calzar,to wedge,Common
calmer,calmar,to calm,Very Common
se calmer,calmarse,to calm down,Common
cambrioler,robar,to burgle,Common
camoufler,camuflar,to camouflage,Less Common
camper,acampar,to camp,Common
canaliser,canalizar,to channel,Less Common
canceller,cancelar,to cancel,Rare
candidater,postular,to apply,Rare
caner,recular,to back out,Rare
capter,captar,to capture,Common
caqueter,cacarear,to cluck,Rare
caractériser,caracterizar,to characterize,Common
carboniser,carbonizar,to carbonize,Rare
carder,cardar,to card,Rare
caresser,acariciar,to caress,Common
carrer,ajustar,to fit,Rare
caser,casar,to marry,Less Common
casser,romper,to break,Very Common
se casser,romperse,to break oneself,Common
cataloguer,catalogar,to catalog,Less Common
catalyser,catalizar,to catalyze,Less Common
causer,causar,to cause,Very Common
cautionner,avalar,to endorse,Less Common
caver,excavar,to cave,Rare
ceindre,ceñir,to gird,Rare
céder,ceder,to yield,Very Common
célébrer,celebrar,to celebrate,Common
celer,ocultar,to conceal,Rare
cesser,cesar,to cease,Very Common
chahuter,abuchear,to heckle,Less Common
chaîner,encadenar,to chain,Rare
chalandiser,comercializar,to market,Rare
changer,cambiar,to change,Very Common
chanter,cantar,to sing,Very Common
chaparder,robar,to pilfer,Less Common
charbonner,carbonizar,to char,Less Common
charcuter,carniceriar,to butcher,Less Common
charger,cargar,to load,Very Common
se charger,encargarse,to take care of,Common
chasser,cazar,to hunt,Common
chatouiller,cosquillear,to tickle,Common
chausser,calzar,to shoe,Common
chauffer,calentar,to heat,Very Common
chauler,encalar,to lime,Rare
chavirer,volcar,to capsize,Less Common
cheminer,encaminar,to walk,Less Common
chercher,buscar,to search,Very Common
chiffonner,arrugar,to crumple,Less Common
chimérer,fantasear,to fantasize,Rare
chiper,robar,to steal,Less Common
chômer,desemplear,to be unemployed,Less Common
choisir,elegir,to choose,Very Common
chuchoter,susurrar,to whisper,Common
cicatriser,cicatrizar,to heal,Less Common
ciller,pestañear,to blink,Rare
circoncire,circuncidar,to circumcise,Rare
circonvenir,circunvenir,to circumvent,Rare
cirer,encerar,to wax,Less Common
citer,citar,to quote,Very Common
clairer,aclarar,to clear,Rare
clamer,clamar,to proclaim,Less Common
clarifier,clarificar,to clarify,Common
classer,clasificar,to classify,Common
cligner,parpadear,to blink,Less Common
cliqueter,hacer clic,to click,Less Common
cloisonner,compartimentar,to partition,Less Common
clôturer,cerrar,to close,Common
clouer,clavar,to nail,Less Common
cocher,marcar,to tick,Common
coder,codificar,to code,Less Common
cogner,golpear,to hit,Common
coincer,atrapar,to trap,Common
collaborer,colaborar,to collaborate,Common
coller,pegar,to stick,Very Common
collectionner,coleccionar,to collect,Common
colorer,colorear,to color,Less Common
coloriser,colorear,to colorize,Rare
combiner,combinar,to combine,Common
combattre,combatir,to fight,Very Common
combler,colmar,to fill,Common
commander,comandar,to command,Very Common
commencer,comenzar,to start,Very Common
commenter,comentar,to comment,Common
commettre,cometer,to commit,Very Common
communiquer,comunicar,to communicate,Very Common
comparaître,comparecer,to appear,Less Common
comparer,comparar,to compare,Very Common
compartimenter,compartimentar,to compartmentalize,Rare
compenser,compensar,to compensate,Common
compléter,completar,to complete,Very Common
complexer,acomplejar,to complex,Less Common
compliquer,complicar,to complicate,Very Common
composer,componer,to compose,Common
comprimer,comprimir,to compress,Less Common
comprendre,comprender,to understand,Very Common
compter,contar,to count,Very Common
concéder,conceder,to concede,Less Common
concentrer,concentrar,to concentrate,Very Common
concevoir,concebir,to conceive,Very Common
conclure,concluir,to conclude,Common
concourir,concursar,to compete,Less Common
condamner,condenar,to condemn,Very Common
condenser,condensar,to condense,Less Common
conditionner,acondicionar,to condition,Common
conduire,conducir,to drive,Very Common
confier,confiar,to entrust,Very Common
confiner,confinar,to confine,Less Common
confirmer,confirmar,to confirm,Very Common
confondre,confundir,to confuse,Very Common
confronter,confrontar,to confront,Common
congeler,congelar,to freeze,Less Common
congratuler,felicitar,to congratulate,Less Common
conjoindre,juntar,to join,Rare
connaître,conocer,to know,Very Common
conquérir,conquistar,to conquer,Common
conseiller,aconsejar,to advise,Very Common
consentir,consentir,to consent,Less Common
conserver,conservar,to conserve,Very Common
considérer,considerar,to consider,Very Common
consigner,consignar,to consign,Less Common
consoler,consolar,to console,Common
consommer,consumir,to consume,Very Common
conspirer,conspirar,to conspire,Less Common
constater,constatar,to note,Very Common
constiper,constipar,to constipate,Rare
constituer,constituir,to constitute,Very Common
construire,construir,to build,Very Common
consulter,consultar,to consult,Very Common
contacter,contactar,to contact,Very Common
contaminer,contaminar,to contaminate,Common
contempler,contemplar,to contemplate,Common
contenir,contener,to contain,Very Common
contenter,contentar,to satisfy,Common
contester,impugnar,to contest,Common
continuer,continuar,to continue,Very Common
contourner,rodear,to bypass,Common
contracter,contratar,to contract,Common
contrarier,contrariar,to annoy,Common
contre-attaquer,contraatacar,to counterattack,Less Common
contrecarrer,contrarrestar,to thwart,Less Common
contredire,contradecir,to contradict,Common
contrevenir,contravenir,to contravene,Less Common
contribuer,contribuir,to contribute,Very Common
contrôler,controlar,to control,Very Common
convaincre,convencer,to convince,Very Common
convenir,convenir,to agree,Very Common
converser,conversar,to converse,Less Common
convertir,convertir,to convert,Very Common
convier,invitar,to invite,Less Common
convoiter,codiciar,to covet,Less Common
convoler,casarse,to marry,Rare
convulser,convulsionar,to convulse,Rare
coordonner,coordinar,to coordinate,Common
copier,copiar,to copy,Very Common
coquer,cocer,to bake,Rare
corriger,corregir,to correct,Very Common
corrompre,corromper,to corrupt,Common
coucher,acostarse,to lie down,Very Common
se coucher,acostarse,to go to bed,Very Common
couler,hundir,to sink,Very Common
couper,cortar,to cut,Very Common
se couper,cortarse,to cut oneself,Common
courber,doblar,to bend,Common
courir,correr,to run,Very Common
court-circuiter,cortocircuitar,to short-circuit,Less Common
cousir,coser,to sew,Rare
coûter,costar,to cost,Very Common
cracher,escupir,to spit,Common
craindre,temer,to fear,Very Common
cramponner,agarrarse,to cling,Less Common
cranter,dentar,to notch,Rare
créer,crear,to create,Very Common
creuser,cavar,to dig,Common
crever,reventar,to burst,Common
cribler,cribar,to sift,Rare
crier,gritar,to shout,Very Common
crisper,crispar,to tense,Less Common
critiquer,criticar,to criticize,Very Common
croiser,cruzar,to cross,Very Common
croire,creer,to believe,Very Common
croître,crecer,to grow,Common
cueillir,recoger,to pick,Common
cuire,cocinar,to cook,Common
cuver,fermentar,to ferment,Rare
daigner,dignarse,to deign,Less Common
damner,condenar,to damn,Rare
danser,bailar,to dance,Very Common
dater,fechar,to date,Common
déballer,desempaquetar,to unpack,Less Common
débaptiser,desbautizar,to unbaptize,Rare
débarquer,desembarcar,to disembark,Common
débattre,debatir,to debate,Very Common
débaucher,seducir,to seduce,Less Common
débecquer,desbecar,to debill,Rare
débiliter,debilitar,to debilitate,Rare
débiter,debitar,to debit,Less Common
déblayer,despejar,to clear,Less Common
débloquer,desbloquear,to unblock,Common
débobiner,desenrollar,to unwind,Rare
déboîter,desencajar,to dislocate,Less Common
déborder,desbordar,to overflow,Common
débosser,desabollar,to unbend,Rare
débotter,desbotar,to unboot,Rare
déboucher,desatascar,to unblock,Common
débouillir,deshervir,to deboil,Rare
débouter,desestimar,to dismiss,Rare
débrancher,desconectar,to unplug,Common
débraser,desbrasar,to deglaze,Rare
débrayer,desembragar,to declutch,Less Common
débrider,desbridar,to unleash,Less Common
débrouiller,desenredar,to untangle,Common
débucher,desbrozar,to drive out,Rare
débuguer,depurar,to debug,Rare
débureaucratiser,desburocratizar,to debureaucratize,Rare
débuter,comenzar,to begin,Very Common
décaler,desplazar,to shift,Common
décamper,acampar,to decamp,Less Common
décapiter,decapitar,to behead,Less Common
décapsuler,descapsular,to decapsulate,Rare
décarcasser,deshacerse,to get rid of,Rare
décharger,descargar,to unload,Common
déchirer,rasgar,to tear,Very Common
décider,decidir,to decide,Very Common
se décider,decidirse,to make up one's mind,Common
déclassifier,desclasificar,to declassify,Less Common
décliner,declinar,to decline,Common
décoller,despegar,to take off,Very Common
décoloniser,descolonizar,to decolonize,Rare
décolorer,decolorar,to discolor,Less Common
décommander,cancelar,to cancel,Less Common
décomposer,descomponer,to decompose,Common
décompresser,descomprimir,to decompress,Less Common
décompter,descontar,to deduct,Less Common
déconcerter,desconcertar,to disconcert,Less Common
déconfire,desconsumir,to spoil,Rare
déconnecter,desconectar,to disconnect,Common
déconseiller,desaconsejar,to advise against,Less Common
déconsidérer,desconsiderar,to disrespect,Rare
décontaminer,descontaminar,to decontaminate,Rare
déconstruire,deconstruir,to deconstruct,Less Common
décontracter,descontracturar,to relax,Rare
décorer,decorar,to decorate,Common
découdre,descoser,to unpick,Less Common
décourager,desalentar,to discourage,Common
découvrir,descubrir,to discover,Very Common
décréter,decretar,to decree,Common
décrire,describir,to describe,Very Common
décroître,decrecer,to decrease,Less Common
déculpabiliser,desculpabilizar,to exonerate,Less Common
dédaigner,desdeñar,to disdain,Less Common
dédier,dedicar,to dedicate,Common
dédommager,indemnizar,to compensate,Common
dédoubler,desdoblar,to unfold,Less Common
dédramatiser,desdramatizar,to downplay,Less Common
déduire,deducir,to deduce,Very Common
défavoriser,desfavorecer,to disadvantage,Less Common
défenestrer,defenestrar,to throw out,Less Common
défendre,defender,to defend,Very Common
déferler,desplegarse,to unfold,Less Common
définir,definir,to define,Very Common
défiscaliser,desgravación,to deregulate,Less Common
dégager,liberar,to free,Very Common
dégainer,desenfundar,to draw,Less Common
dégazonner,desbrozar,to turf out,Rare
dégeler,descongelar,to thaw,Less Common
dégénérer,degenerar,to degenerate,Less Common
dégivrer,descongelar,to defrost,Less Common
déglinguer,desmoronar,to wreck,Less Common
dégobiller,vomitar,to vomit,Rare
dégommer,desgomar,to unstick,Less Common
dégonder,desengonzar,to unhinge,Rare
dégoter,encontrar,to find,Less Common
dégoupiller,despojar,to remove the pin,Rare
dégraisser,desengrasar,to defat,Less Common
déguiser,disfrazar,to disguise,Common
déhancher,desalinear,to sway,Rare
déjanter,desencajar,to derail,Less Common
déjouer,burlar,to outwit,Common
déjucher,desalojar,to evict,Rare
délecter,deleitarse,to delight,Less Common
déléguer,delegar,to delegate,Common
délibérer,deliberar,to deliberate,Common
délimiter,delimitar,to delimit,Less Common
déloger,desalojar,to dislodge,Common
délustrer,deslustrar,to tarnish,Rare
demander,pedir,to ask,Very Common
se demander,preguntarse,to wonder,Common
démanger,picar,to itch,Rare
démanteler,desmantelar,to dismantle,Less Common
démarrer,arrancar,to start,Very Common
démembrer,desmembrar,to dismember,Less Common
déménager,mudarse,to move,Very Common
démentir,desmentir,to deny,Common
démobiliser,desmovilizar,to demobilize,Less Common
démolir,demoler,to demolish,Common
démontrer,demostrar,to demonstrate,Very Common
démoraliser,desmoralizar,to demoralize,Less Common
démotiver,desmotivar,to demotivate,Less Common
démouler,desmoldar,to unmold,Rare
démystifier,desmitificar,to demystify,Less Common
dénapper,desempañar,to uncoat,Rare
dénataliser,desnaturalizar,to denaturalize,Rare
dénationaliser,desnacionalizar,to denationalize,Rare
dénaturer,desnaturalizar,to denature,Less Common
dénicher,desenterrar,to unearth,Common
dénier,denegar,to deny,Less Common
dénoncer,denunciar,to denounce,Very Common
dénouer,desatar,to untie,Less Common
dénuder,desnudar,to strip,Less Common
dépailler,despajar,to depale,Rare
dépaissir,desespesar,to thin,Rare
dépalettiser,despaletizar,to depalletize,Rare
déparler,deshablar,to mispronounce,Rare
départir,repartir,to divide,Less Common
dépasser,sobrepasar,to exceed,Very Common
dépayser,desorientar,to disorient,Less Common
dépecer,despiezar,to cut up,Less Common
dépêcher,apresurarse,to hurry,Very Common
se dépêcher,darse prisa,to hurry,Common
dépénaliser,despenalizar,to decriminalize,Less Common
dépendre,depender,to depend,Very Common
dépenser,gastar,to spend,Very Common
dépister,detectar,to detect,Common
dépiter,despechar,to vex,Less Common
déplorer,deplorar,to deplore,Common
déployer,desplegar,to deploy,Very Common
déplumer,desplumar,to pluck,Rare
dépolitiser,despolitizar,to depoliticize,Rare
déporter,deportar,to deport,Less Common
déposer,depositar,to deposit,Very Common
dépouiller,despojar,to strip,Common
dépurer,depurar,to purify,Rare
dérailler,descarrilar,to derail,Less Common
déranger,molestar,to disturb,Very Common
dérater,desratizar,to derat,Rare
dératiser,desratizar,to derat,Rare
dérober,robar,to steal,Common
dérouiller,oxidar,to rust,Less Common
désabonner,desuscribir,to unsubscribe,Less Common
désactiver,desactivar,to deactivate,Less Common
désaffilier,desafiliar,to disaffiliate,Rare
désagréger,desintegrar,to disintegrate,Less Common
désaisonnaliser,desestacionalizar,to desegregate,Rare
désamorcer,desactivar,to deactivate,Less Common
désapprouver,desaprobar,to disapprove,Less Common
désarmer,desarmar,to disarm,Common
désassembler,desensamblar,to disassemble,Rare
désavantager,desfavorecer,to disadvantage,Less Common
désavouer,desautorizar,to disavow,Less Common
descendre,bajar,to descend,Very Common
désemparer,desamparar,to forsake,Rare
désenchanter,desencantar,to disenchant,Less Common
désenfler,desinflar,to deflate,Rare
désengager,desligar,to disengage,Less Common
désengorger,descongestionar,to unclog,Less Common
désenrayer,desengrasar,to derust,Rare
désensabler,desensar,to remove sand,Rare
désensibiliser,desensibilizar,to desensitize,Less Common
désépaissir,adelgazar,to thin,Rare
déséquilibrer,desequilibrar,to unbalance,Less Common
déserter,desertar,to desert,Common
désespérer,desesperar,to despair,Common
déshabiller,desvestir,to undress,Common
déshabituer,desacostumbrar,to unaccustom,Less Common
désherber,desherbar,to weed,Less Common
déshériter,desheredar,to disinherit,Less Common
déshonorer,deshonrar,to dishonor,Less Common
déshuileur,desengrasar,to degrease,Rare
déshumaniser,deshumanizar,to dehumanize,Less Common
